decision_id,title,created_at,status,voted_at,objectives,vote_result,option_id,option_label,option_pros,option_cons
7,Bénéfices,2020-12-31 15:51:18.180564+00,voted,2021-01-12 16:27:27.970809+00,Inscrire des bénéfices au budget prévisionnel de l'exercice 2020/2021.,"2 contre
2 abst
8 pour",kh2rEvmdgV3Hkj8KT6eFEy8xweBLpr2MwgWJqr3jbXVDm8R8L,Inscrire au budget prévisionnel un bénéfice de 56 663€,Valoriser financièrement l'implication des salariés,"Budget non investi dans des projets internes
Chiffre d'affaires à réaliser plus important"
7,Bénéfices,2020-12-31 15:51:18.180564+00,voted,2021-01-12 16:27:27.970809+00,Inscrire des bénéfices au budget prévisionnel de l'exercice 2020/2021.,"2 contre
2 abst
8 pour",P6zfdShWB7HMZqsbKGbQiHz9tFDTdV8caMpuTikY9FEh5s7zd,Ne pas prévoir de bénéfice au budget prévisionnel,"Chiffre d'affaires à réaliser moins important
Conserver ce budget pour d'autres projets",""
1,Mon nouveau DAD,2020-10-02 14:50:25.821339+00,closed,"0001-01-01 00:00:00+00",Le DAD qu'il est bien,,n1ZgHMhgtNSBuqvqfrrQCPv1UL2bLnVBBhgwuMUN1Wt3EgfGD,Option 1,Parce que,Parce que
1,Mon nouveau DAD,2020-10-02 14:50:25.821339+00,closed,"0001-01-01 00:00:00+00",Le DAD qu'il est bien,,kFJoUfY4UHBhd67Fnin2NaaYb9a2uSWbAgxqXioG5WT4joTXM,Décision,"",""
2,Chèques Noël 2020,2020-10-16 09:46:45.296418+00,closed,"0001-01-01 00:00:00+00","Distribuer ou non des chèques Cadhoc (ou autre selon les demandes) pour les fêtes de fin d'année pour chaque salarié.
En 2020, il est possible de distribuer un montant maximum de 171€ de chèques cadeaux par salarié et par événement URSSAF, tout en bénéficiant d'une exonération totale de cotisations de sécurité sociale.",voté ok,kmwPjUTkB4E45VNVL7jEhiz3qNuWWGAA5wDRpTHtMJJ1LpUzx,Ne pas offrir de chèques cadeaux pour la fin d'année,"- Aucun coût financier
- Aucun temps travail sur ce sujet","- Pas de cadeau de la part de la société aux salariés
- Pas de geste collaborateurs"
2,Chèques Noël 2020,2020-10-16 09:46:45.296418+00,closed,"0001-01-01 00:00:00+00","Distribuer ou non des chèques Cadhoc (ou autre selon les demandes) pour les fêtes de fin d'année pour chaque salarié.
En 2020, il est possible de distribuer un montant maximum de 171€ de chèques cadeaux par salarié et par événement URSSAF, tout en bénéficiant d'une exonération totale de cotisations de sécurité sociale.",voté ok,n1mGsJZUEYf12PP84KWVdzz7hwfe3HbZpTge6N3LHqKr8xNhz,Choisir les chèques Cadhoc pour un montant de 171€ par salarié,"- ""Cadeau"" exonéré pour l'entreprise
- Tradition chez Cadoles depuis quasiment les débuts de Cadoles
- large choix d'enseignes
","- Coût financier (2223€, hors frais de dossier)"
2,Chèques Noël 2020,2020-10-16 09:46:45.296418+00,closed,"0001-01-01 00:00:00+00","Distribuer ou non des chèques Cadhoc (ou autre selon les demandes) pour les fêtes de fin d'année pour chaque salarié.
En 2020, il est possible de distribuer un montant maximum de 171€ de chèques cadeaux par salarié et par événement URSSAF, tout en bénéficiant d'une exonération totale de cotisations de sécurité sociale.",voté ok,mD4oZfkvu65sgYKn9zsWa33tUCq5ALwvcTvzZH2GTxvRa3HDW,Choisir les chèques Cadhoc pour un montant décidé en AC identique pour chaque salarié ,"- ""Cadeau"" exonéré pour l'entreprise
- Tradition chez Cadoles depuis quasiment les débuts de Cadoles
- large choix d'enseignes","- Coût financier (inférieur à 2223€, hors frais de dossier)"
2,Chèques Noël 2020,2020-10-16 09:46:45.296418+00,closed,"0001-01-01 00:00:00+00","Distribuer ou non des chèques Cadhoc (ou autre selon les demandes) pour les fêtes de fin d'année pour chaque salarié.
En 2020, il est possible de distribuer un montant maximum de 171€ de chèques cadeaux par salarié et par événement URSSAF, tout en bénéficiant d'une exonération totale de cotisations de sécurité sociale.",voté ok,QWWhduRo2mkbe7XU2dJqtWtJDnU19CnWvrd726WbC4yU4LLF5,"Laisser le choix entre les chèques Cadhoc pour un montant de 171€ par salarié ou un /des bon/s d'achat dans l'établissement de son choix (la Fnac, Boulanger, une libraire, autre)","- ""Cadeau"" exonéré pour l'entreprise
- Tradition chez Cadoles depuis quasiment les débuts de Cadoles
- Un choix plus large que les établissements proposés par Cadhoc, personnalisé","- Coût financier
- Temps un peu plus long que si tout est pris chez Cadhoc"
2,Chèques Noël 2020,2020-10-16 09:46:45.296418+00,closed,"0001-01-01 00:00:00+00","Distribuer ou non des chèques Cadhoc (ou autre selon les demandes) pour les fêtes de fin d'année pour chaque salarié.
En 2020, il est possible de distribuer un montant maximum de 171€ de chèques cadeaux par salarié et par événement URSSAF, tout en bénéficiant d'une exonération totale de cotisations de sécurité sociale.",voté ok,SCVuY4j93h5DzeFEeFwK5ZQixvJywzttgWNNfairyUuhv8TNJ,"Laisser le choix entre les chèques Cadhoc pour un montant décidé en AC par salarié ou un /des bon/s d'achat dans l'établissement de son choix (la Fnac, Boulanger, une libraire, autre)","- ""Cadeau"" exonéré pour l'entreprise
- Tradition chez Cadoles depuis quasiment les débuts de Cadoles
- Un choix plus large que les établissements proposés par Cadhoc, personnalisé","- Coût financier
- Temps un peu plus long que si tout est pris chez Cadhoc"
4,Définition d'un temps collaborateurs,2020-12-31 15:16:41.856207+00,voted,2021-01-12 16:27:11.399632+00,"Chaque salarié pourra et devra, chaque mois, participer à la vie de l'entreprise.",,PC6ma196kRRGzmQaquDxGEgXdNLkrAG5mZrwW3fRpFwJ5DTBw,"Les salariés ne disposent pas de temps collaborateur autre que la participation aux AC/AG et le temps vacant, et utilisé comme tel, entre les temps consacrés aux groupes opérationnels.",L'entreprise peut consacrer l'essemble de ce gain de temps à ces clients.,"L'entreprise n'est pas correctement gérée et n'évolue pas comme attendu.
Le salariés ne peuvent pas s'impliquer suffisamment.
La vie de l'entreprise est considéré comme moins importante que les demandes clients.
Il est difficile de pouvoir constituer des groupes parce que les périodes disponibles sont généralement asynchrone."
4,Définition d'un temps collaborateurs,2020-12-31 15:16:41.856207+00,voted,2021-01-12 16:27:11.399632+00,"Chaque salarié pourra et devra, chaque mois, participer à la vie de l'entreprise.",,NEDxZgYjJ5KDiLXNdbiekt7Waxmmr5aannnLjitpweupqw2Dw,Les salariés disposent de temps collaborateur  ,"La vie de l'entreprise est aussi importante que les demandes de leurs clients.
Ce temps n'est pas pris sur les projets clients actuels.
Les groupes peuvent synchroniser le temps collaborateur pour travailler ensemble.
Les projets concernant Cadoles avancent et Cadoles évolue.",Cela demande un budget temps.
6,Financement logiciels libres,2020-12-31 15:39:36.459079+00,voted,2021-01-12 16:27:21.06853+00,Budgeter le financement de logiciels libres.,Adoption à l'unanimité,kh2pxNGr12z5ji399w1rYofLZuK1LXcuWU4K55SFHEyQyV55n,Participer aux financements de logiciels libres à hauteur de 6 500€,"Participer à la pérénité de ces projets                                                                              On est en accord avec nos valeurs

",Budget qui ne sera pas mis ailleurs.
6,Financement logiciels libres,2020-12-31 15:39:36.459079+00,voted,2021-01-12 16:27:21.06853+00,Budgeter le financement de logiciels libres.,Adoption à l'unanimité,NECrHFfQ4qVFM5ZxtZ1CQuwZB9Y8582nLKMMbHLYk7Dzo3qWP,Ne pas participer aux financements de logiciels libres,Budget à mettre ailleurs  ,N'assure pas la pérénité des projets.
39,Modèle Budgétaire Cadoles,2021-12-14 16:23:21.234567+00,voted,2022-01-12 09:35:29.224701+00,"Accepter ou non le principe du modèle budgétaire proposé par le groupe de travail.
Vous trouverez à cet emplacement le fruit du travail réalisé par le groupe de travail qui pourra vous aider à mieux comprendre ce DAD
https://nextcloud.cadoles.com/nextcloud/index.php/apps/files/?dir=/Groupes%20de%20travail/Carte%20des%20Domaines&fileid=53468

Le principe de base étant le suivant :
- Découpe des budgets en Domaine
- Chaque Domaine identifie des ressources humaines associées dont un coordinateur global
- Chaque Domaine étant constitué de Projets
- Chaque Projet étant associé à un Référent Technique / de potentiels Intervenants / un Référent Commercial / un Coordinateur, issus des ressources humaines identifiées au niveau du Domaine.
- Chaque Projet ayant une liste de mission à la charge du Référent Technique et des potentiels Intervenants du Projet
- La cohérence globale du Domaine est assurée par la coordination des Projets le constituant

Les différences par rapports à notre fonctionnement actuel seraient :
- Pouvoir regrouper les Projets afin d'avoir un vision synthétique des Budgets tant au niveau de leur construction que de leur suivi
- Mise en place de Projet Interne afin de généraliser le mode de fonctionnement actuellement en oeuvre sur nos Projets Opérationnels
- Une meilleur définition des Projets des Domaines Interne qui seraient = Prospection / Coordination / Missions Collectives / CoGérance / Administratif / Comptable / Infra Interne / R&D / Documentations / Communication

En cherchant à mieux définir les Projets Interne et leur Domaine respectif nous pensons que cela pourrait répondre à l'un de problème soulevé durant notre séminaire. Problème qui était le suivant : ""Le modèle décisionnel couvre des problématiques qui sont d'avantage liées à des fonctions qu'à des décisions collectives"". En effet via les nouveaux Projets Interne et en leur associant des Référents Technique, de fait nous générons de nouvelles missions qui sont aujourd'hui soumises à des Missions Collectives.

Exemple = Le ""Suivi des Embauches"" serait en charge du Référent Technique du Projet ""Gestion du Personnel"" qui ferait partie du Domaine ""Administratif""
Exemple = Les ""Statuts"" (scop cadoles) serait en charge du Référent Technique du Projet ""Statut"" qui ferait partie du Domaine ""CoGérance""


",Adopté,NfU9kn5agQEKjTLdRyWtiee8GVYmLu3yBLbQe2gEr6mnca3Xj,Accepter le principe de Domaines / Projets / Missions / Rôles associés aux Projet,"",""
39,Modèle Budgétaire Cadoles,2021-12-14 16:23:21.234567+00,voted,2022-01-12 09:35:29.224701+00,"Accepter ou non le principe du modèle budgétaire proposé par le groupe de travail.
Vous trouverez à cet emplacement le fruit du travail réalisé par le groupe de travail qui pourra vous aider à mieux comprendre ce DAD
https://nextcloud.cadoles.com/nextcloud/index.php/apps/files/?dir=/Groupes%20de%20travail/Carte%20des%20Domaines&fileid=53468

Le principe de base étant le suivant :
- Découpe des budgets en Domaine
- Chaque Domaine identifie des ressources humaines associées dont un coordinateur global
- Chaque Domaine étant constitué de Projets
- Chaque Projet étant associé à un Référent Technique / de potentiels Intervenants / un Référent Commercial / un Coordinateur, issus des ressources humaines identifiées au niveau du Domaine.
- Chaque Projet ayant une liste de mission à la charge du Référent Technique et des potentiels Intervenants du Projet
- La cohérence globale du Domaine est assurée par la coordination des Projets le constituant

Les différences par rapports à notre fonctionnement actuel seraient :
- Pouvoir regrouper les Projets afin d'avoir un vision synthétique des Budgets tant au niveau de leur construction que de leur suivi
- Mise en place de Projet Interne afin de généraliser le mode de fonctionnement actuellement en oeuvre sur nos Projets Opérationnels
- Une meilleur définition des Projets des Domaines Interne qui seraient = Prospection / Coordination / Missions Collectives / CoGérance / Administratif / Comptable / Infra Interne / R&D / Documentations / Communication

En cherchant à mieux définir les Projets Interne et leur Domaine respectif nous pensons que cela pourrait répondre à l'un de problème soulevé durant notre séminaire. Problème qui était le suivant : ""Le modèle décisionnel couvre des problématiques qui sont d'avantage liées à des fonctions qu'à des décisions collectives"". En effet via les nouveaux Projets Interne et en leur associant des Référents Technique, de fait nous générons de nouvelles missions qui sont aujourd'hui soumises à des Missions Collectives.

Exemple = Le ""Suivi des Embauches"" serait en charge du Référent Technique du Projet ""Gestion du Personnel"" qui ferait partie du Domaine ""Administratif""
Exemple = Les ""Statuts"" (scop cadoles) serait en charge du Référent Technique du Projet ""Statut"" qui ferait partie du Domaine ""CoGérance""


",Adopté,PddBvvX3JFQMGUeLRhVicEqCNEnLJwuxNp4CKQKgm6ydbjSJk,Refuser le principe de Domaines / Projets / Missions / Rôles associés aux Projet,"",""
47,carte de visite,2022-10-03 15:07:26.037872+00,draft,"0001-01-01 00:00:00+00","Devons nous améliorer notre communication ?
Devons nous avoir un moyen de rappeler notre existence au prospect/client éventuel rencontré, et leur permettre d'avoir les informations nécessaire pour nous contacter sous la main ?

",,Rm9spbaC2tbEuL4hDEUpUPpCo6Uu6qdt3t1jmhAL5eqKTdw84,"Une personne ou un groupe de travail agit pour :
-Mettre à jours les cartes de visite au nom de cadoles
-en imprime 100 pour un budget maximale de 60 euros","-ça fait pro!
-permet de facilement échanger avec nous
-sert de pense-bête
-améliore notre visibilité","-pas envie !
-on s'en servira pas !
-on en a pas besoin !
-pas le temps !
-On est cadoles ...
-ça va finir dans un placard !"
47,carte de visite,2022-10-03 15:07:26.037872+00,draft,"0001-01-01 00:00:00+00","Devons nous améliorer notre communication ?
Devons nous avoir un moyen de rappeler notre existence au prospect/client éventuel rencontré, et leur permettre d'avoir les informations nécessaire pour nous contacter sous la main ?

",,SH67coenWPTJZfhzdMGz82CUdiGyVxK4s1C5sBvALLTtoZqfM,"Une personne ou un groupe de travail agit pour :
-Mettre à jours les cartes de visite au nom de cadoles
-Faire des carte de visite personnalisée (nom, prénom, poste) pour chaque collaborateurs
-en imprime 50 de chaque pour un budget maximale de 500 euros","-ça fait pro!
-permet de facilement échanger avec nous
-sert de pense-bête
-améliore notre visibilité
-les clients/prospect retiennent les nom/visage
-on peut crâner","-pas envie !
-on s'en servira pas !
-on en a pas besoin !
-pas le temps !
-On est cadoles ...
-ça va finir dans un placard !"
47,carte de visite,2022-10-03 15:07:26.037872+00,draft,"0001-01-01 00:00:00+00","Devons nous améliorer notre communication ?
Devons nous avoir un moyen de rappeler notre existence au prospect/client éventuel rencontré, et leur permettre d'avoir les informations nécessaire pour nous contacter sous la main ?

",,SCCQTdxPhDnz9Pd2DcoLHNy2xKhyCCKtMsMDCq9SA1A8W3Yh5,"Une personne ou un groupe de travail agit pour :
-Mettre à jours les cartes de visite au nom de cadoles
-Faire des carte de visite personnalisé (nom, prénom, poste) pour chaque membre
-en imprime 50 de chaque pour un budget maximale de 650 euros","-ça fait pro!
-permet de facilement échanger avec nous
-sert de pense-bête
-améliore notre visibilité
-les clients/prospect retiennent les nom/visage
-on peut crâner","-pas envie !
-on s'en servira pas !
-on en a pas besoin !
-pas le temps !
-On est cadoles ...
-ça va finir dans un placard !"
47,carte de visite,2022-10-03 15:07:26.037872+00,draft,"0001-01-01 00:00:00+00","Devons nous améliorer notre communication ?
Devons nous avoir un moyen de rappeler notre existence au prospect/client éventuel rencontré, et leur permettre d'avoir les informations nécessaire pour nous contacter sous la main ?

",,RPoUq6JdBahsKoEM4G4Hg83oypYCETjmRRKYJm22LwQRZ6ruo,"Une personne ou un groupe de travail agit pour :
-Mettre à jours les cartes de visite au nom de cadoles
-en imprime 500 pour un budget maximale de 300 euros","-ça fait pro!
-permet de facilement échanger avec nous
-sert de pense-bête
-améliore notre visibilité
-on a de quoi faire !","-pas envie !
-on s'en servira pas !
-on en a pas besoin !
-pas le temps !
-On est cadoles ...
-ça va finir dans un placard !"
47,carte de visite,2022-10-03 15:07:26.037872+00,draft,"0001-01-01 00:00:00+00","Devons nous améliorer notre communication ?
Devons nous avoir un moyen de rappeler notre existence au prospect/client éventuel rencontré, et leur permettre d'avoir les informations nécessaire pour nous contacter sous la main ?

",,RqZY5ni8EmnPkwX6HJq8mu6wAoKg1GBMeF8Rsrm1mk4qJfgx3,"Une personne ou un groupe de travail agit pour :
-revoir le graphisme des cartes de visite
-faire une proposition 
-imprimer des cartes à la suite de la proposition","-ça fait pro!
-permet de facilement échanger avec nous
-sert de pense-bête
-améliore notre visibilité
-on a de quoi faire !
-nouveau skin !","-pas envie !
-on s'en servira pas !
-on en a pas besoin !
-pas le temps !
-On est cadoles ...
-ça va finir dans un placard !
-perte de temps !"
47,carte de visite,2022-10-03 15:07:26.037872+00,draft,"0001-01-01 00:00:00+00","Devons nous améliorer notre communication ?
Devons nous avoir un moyen de rappeler notre existence au prospect/client éventuel rencontré, et leur permettre d'avoir les informations nécessaire pour nous contacter sous la main ?

",,kh2pxRSRWfnWxejr568EHVBwc6EHmKgmxJv9CHDYXVLYFsDSz,"Un groupe de travail agit pour :
-revoir les cartes de visite
-faire une proposition d'aspect
-faire une proposition de carte de visite par membre, ou par pôle (DEV ou SYS)
-chercher d'autre moyen avec le même objectifs (goodies et autres)","-ça fait pro!
-permet de facilement échanger avec nous
-sert de pense-bête
-améliore notre visibilité
-on a de quoi faire !
-nouveau skin !
-des idées innovante peuvent sortir","-pas envie !
-on s'en servira pas !
-on en a pas besoin !
-pas le temps !
-On est cadoles ...
-ça va finir dans un placard !
-perte de temps !
-j'aime pas les groupe de travail !
-je ne veux pas investir du temps et du budget dans des items inutile !"
47,carte de visite,2022-10-03 15:07:26.037872+00,draft,"0001-01-01 00:00:00+00","Devons nous améliorer notre communication ?
Devons nous avoir un moyen de rappeler notre existence au prospect/client éventuel rencontré, et leur permettre d'avoir les informations nécessaire pour nous contacter sous la main ?

",,RJvra9JFBBE9bVSaVF4WkF5Uf2BcDbKMo8MHicmE3tnTshjvS,Décision,"",""
8,Valider la répartition des groupes opérationnels actuels,2020-12-31 16:36:30.19226+00,voted,2021-01-12 16:27:34.767307+00,Valider la répartition du budget temps et des objectifs des groupes opérationnels.,"2 abst
10 pour",SBu51gMuA14wtSR2jV7q4dqhS7PSQ1huWZx13q4sV2dLtUsMC,"Définir les budgets dans ""scop-cadoles"" ",Se conformer au modèle  ,""
8,Valider la répartition des groupes opérationnels actuels,2020-12-31 16:36:30.19226+00,voted,2021-01-12 16:27:34.767307+00,Valider la répartition du budget temps et des objectifs des groupes opérationnels.,"2 abst
10 pour",PzbfZuSgxNqV6nW28yGHh5p2Fe3FR1yG1PCZxqDqs65boRK2K,Ne pas définir,"",Il est important de se conformer au modèle.
9,Indicateurs,2020-12-31 16:54:58.363314+00,voted,2021-01-12 16:27:42.139281+00,Valider les indicateurs,Unanimité,kh8cc2cAXrRtLmqb4cqrmZKERMmyamRFNg35e7CqCPbxZcrYc,Valider les indicateurs,Avoir des indicateurs stables ,""
9,Indicateurs,2020-12-31 16:54:58.363314+00,voted,2021-01-12 16:27:42.139281+00,Valider les indicateurs,Unanimité,SHCvJ7PmvnjA2taY9TD5HeQmBt3vaWQwhYPnP6n3GcAuW7aD8,Ne pas valider les indicateurs,"",On n'a pas de référentiel.
